---------------------------------------------------------
Time	|	PC 	 | AluIn1	| AluIn2	| AluOut	|
---------------------------------------------------------
  0.0 	| xxxxxxxx |xxxxxxxx 	|xxxxxxxx 	|xxxxxxxx 	| 
  0.0 	| 00000000 |00000000 	|00000000 	|00000000 	| 
  0.0 	| 00000000 |00000000 	|00000000 	|00000000 	| 
  0.0 	| 00000000 |00000000 	|00000000 	|00000000 	| 
  0.1 	| 00000004 |00000000 	|00000000 	|00000000 	| 
  0.1 	| 00000008 |00000000 	|00000000 	|00000000 	| 
  0.1 	| 0000000c |00000000 	|00000000 	|00000000 	| 
  0.1 	| 00000010 |00000000 	|00000000 	|00000000 	| 
  0.1 	| 00000014 |00000000 	|00000000 	|00000000 	| 
  0.1 	| 00000018 |00000000 	|00000000 	|00000000 	| 
  0.1 	| 0000001c |00000000 	|00000000 	|00000000 	| 
  0.1 	| 00000020 |00000000 	|00000000 	|00000000 	| 
  0.1 	| 00000024 |00000000 	|00000000 	|00000000 	| 
  0.1 	| 00000028 |00000000 	|00000000 	|00000000 	| 
  0.1 	| 0000002c |00000000 	|00000000 	|00000000 	| 
  0.2 	| 00000030 |00000000 	|00000000 	|00000000 	| 
  0.2 	| 00000034 |00000000 	|00000000 	|00000000 	| 
  0.2 	| 00000038 |00000000 	|00000000 	|00000000 	| 
  0.2 	| 0000003c |00000000 	|00000000 	|00000000 	| 
  0.2 	| 00000040 |00000000 	|00000000 	|00000000 	| 
  0.2 	| 00000044 |00000000 	|00000000 	|00000000 	| 
  0.2 	| 00000048 |00000000 	|00000000 	|00000000 	| 
  0.2 	| 0000004c |00000000 	|00000000 	|00000000 	| 
  0.2 	| 00000050 |00000000 	|00000000 	|00000000 	| 
  0.3 	| 00000054 |00000000 	|00000000 	|00000000 	| 
  0.3 	| 00000058 |00000000 	|00000000 	|00000000 	| 
  0.3 	| 0000005c |00000000 	|00000000 	|00000000 	| 
  0.3 	| 00000060 |00000000 	|00000000 	|00000000 	| 
  0.3 	| 00000064 |00000000 	|00000000 	|00000000 	| 
  0.3 	| 00000068 |00000000 	|00000000 	|00000000 	| 
  0.3 	| 0000006c |00000000 	|00000000 	|00000000 	| 
  0.3 	| 00000070 |00000000 	|00000000 	|00000000 	| 
  0.3 	| 00000074 |00000000 	|00000000 	|00000000 	| 
  0.3 	| 00000078 |00000000 	|00000000 	|00000000 	| 
  0.3 	| 0000007c |00000000 	|00000000 	|00000000 	| 
  0.4 	| 00000080 |00000000 	|00000000 	|00000000 	| 
  0.4 	| 00000084 |00000000 	|00000000 	|00000000 	| 
  0.4 	| 00000088 |00000000 	|00000000 	|00000000 	| 
  0.4 	| 0000008c |00000000 	|00000001 	|00000001 	| 
  0.4 	| 00000090 |00000000 	|00000002 	|00000002 	| 
  0.4 	| 00000094 |00000000 	|00000003 	|00000003 	| 
  0.4 	| 00000098 |00000000 	|00000004 	|00000004 	| 
  0.4 	| 0000009c |00000000 	|00000005 	|00000005 	| 
  0.4 	| 000000a0 |00000000 	|00000006 	|00000006 	| 
  0.5 	| 000000a4 |00000000 	|00000007 	|00000007 	| 
  0.5 	| 000000a8 |00000000 	|00000008 	|00000008 	| 
  0.5 	| 000000ac |00000002 	|00000001 	|00000000 	| 
  0.5 	| 000000b0 |00000001 	|00000002 	|00000001 	| 
  0.5 	| 000000b4 |00000004 	|00000001 	|00000002 	| 
  0.5 	| 000000b8 |00000003 	|00000007 	|00000003 	| 
  0.5 	| 000000bc |00000002 	|00000001 	|00000004 	| 
  0.5 	| 000000c0 |00000001 	|00000004 	|00000005 	| 
  0.5 	| 000000c4 |00000003 	|00000005 	|00000006 	| 
  0.5 	| 000000c8 |00000001 	|00000006 	|00000007 	| 
  0.6 	| 000000cc |00000000 	|00001000 	|00001000 	| 
  0.6 	| 000000d0 |00001000 	|00000000 	|00001000 	| 
  0.6 	| 000000d4 |00001000 	|00000004 	|00001004 	| 
  0.6 	| 000000d8 |00001000 	|00000008 	|00001008 	| 
  0.6 	| 000000dc |00001000 	|0000000c 	|0000100c 	| 
  0.6 	| 000000e0 |00001000 	|00000010 	|00001010 	| 
  0.6 	| 000000e4 |00001000 	|00000014 	|00001014 	| 
  0.6 	| 000000e8 |00001000 	|00000018 	|00001018 	| 
  0.6 	| 000000ec |00001000 	|0000001c 	|0000101c 	| 
  0.6 	| 000000f0 |00001000 	|00000020 	|00001020 	| 
  0.7 	| 000000f4 |00001000 	|00000024 	|00001024 	| 
  0.7 	| 000000f8 |00001000 	|00000028 	|00001028 	| 
  0.7 	| 000000fc |00001000 	|0000002c 	|0000102c 	| 
  0.7 	| 00000100 |00001000 	|00000030 	|00001030 	| 
  0.7 	| 00000104 |00001000 	|00000034 	|00001034 	| 
  0.7 	| 00000108 |00001000 	|00000038 	|00001038 	| 
  0.7 	| 0000010c |00001000 	|0000003c 	|0000103c 	| 
  0.7 	| 00000110 |00001000 	|00000020 	|00001020 	| 
  0.7 	| 00000114 |00001000 	|00000024 	|00001024 	| 
  0.7 	| 00000118 |00001000 	|00000028 	|00001028 	| 
  0.8 	| 0000011c |00001000 	|0000002c 	|0000102c 	| 
  0.8 	| 00000120 |00001000 	|00000030 	|00001030 	| 
  0.8 	| 00000124 |00001000 	|00000034 	|00001034 	| 
  0.8 	| 00000128 |00001000 	|00000038 	|00001038 	| 
  0.8 	| 0000012c |00001000 	|0000003c 	|0000103c 	| 
  0.8 	| 00000130 |00000000 	|00000000 	|00000000 	| 
  0.8 	| 00000134 |00000000 	|00000000 	|00000000 	| 
  0.8 	| 00000138 |00000000 	|00000000 	|00000000 	| 
  0.8 	| 0000013c |00000000 	|00000000 	|00000000 	| 
  0.8 	| 00000140 |00000000 	|00000001 	|00000001 	| 
  0.8 	| 00000144 |00000000 	|00000000 	|00000000 	| 
  0.9 	| 00000148 |00000000 	|00000000 	|00000000 	| 
  0.9 	| 0000014c |00000000 	|00000000 	|00000000 	| 
  0.9 	| 00000150 |00000000 	|00000000 	|00000000 	| 
  0.9 	| 00000154 |00000000 	|00000000 	|00000000 	| 
  0.9 	| 00000158 |00000000 	|00000000 	|00000000 	| 
  0.9 	| 0000015c |00000000 	|00000000 	|00000000 	| 
  0.9 	| 00000160 |00000000 	|00000000 	|00000000 	| 
  0.9 	| 00000164 |00000000 	|00000000 	|00000000 	| 
  0.9 	| 00000168 |00000000 	|00000000 	|00000000 	| 
  0.9 	| 0000016c |00000000 	|00000000 	|00000000 	| 
  1.0 	| 00000170 |00000000 	|00000000 	|00000000 	| 
  1.0 	| 00000174 |00000000 	|00000000 	|00000000 	| 
  1.0 	| 00000178 |00000000 	|00000000 	|00000000 	| 
  1.0 	| 0000017c |00000000 	|00000000 	|00000000 	| 
  1.0 	| 00000180 |00000000 	|00000000 	|00000000 	| 
  1.0 	| 00000184 |00000000 	|00000000 	|00000000 	| 
  1.0 	| 00000188 |00000000 	|00000000 	|00000000 	| 
  1.0 	| 0000018c |00000000 	|00000000 	|00000000 	| 
  1.0 	| 00000190 |00000000 	|00000000 	|00000000 	| 
